SV_CAN_VER,1
Time,CAM_FC,CAM_SR,CAM_SL,CAM_SVM_F,CAM_SVM_R,CAM_SVM_L,CAM_SVM_B,YAW_RATE,SAS_Angle,CF_Clu_Vanz,WHL_SPD_FL,WHL_SPD_FR,WHL_SPD_RL,WHL_SPD_RR,ACCEL_REF_ACC,LONG_ACCEL,LAT_ACCEL,G_SEL_DISP,CF_Gway_TurnSigLh,CF_Gway_TurnSigRh
0.072530,,,,,,,,-1.620000,-3.400000,63.000000,60.718750,60.625000,60.625000,60.125000,0.710000,0.550000,0.250000,5.000000,0.000000,0.000000
0.082056,,,1.000000,,,,,,,,,,,,,,,,,
0.082451,,,,,,,,-1.520000,-3.300000,63.000000,60.750000,60.593750,60.687500,60.437500,0.710000,0.650000,0.220000,5.000000,0.000000,0.000000
0.092541,,,,,,,,-1.510000,-3.200000,63.000000,60.750000,60.593750,60.687500,60.437500,0.740000,0.810000,0.170000,5.000000,0.000000,0.000000
0.099201,,1.000000,,,,,,,,,,,,,,,,,,
0.100555,1.000000,,,,,,,,,,,,,,,,,,,
0.102397,,,,,,,,-1.410000,-3.000000,63.000000,60.718750,60.593750,60.468750,60.468750,0.740000,0.660000,0.210000,5.000000,0.000000,0.000000
0.112482,,,,,,,,-1.390000,-3.000000,63.000000,60.718750,60.593750,60.468750,60.468750,0.680000,0.580000,0.270000,5.000000,0.000000,0.000000
0.115429,,,2.000000,,,,,,,,,,,,,,,,,
0.122585,,,,,,,,-1.440000,-2.900000,63.000000,60.875000,60.906250,60.562500,60.500000,0.680000,0.440000,0.280000,5.000000,0.000000,0.000000
0.132463,,,,,,,,-1.410000,-2.800000,63.000000,60.875000,60.906250,60.562500,60.500000,0.730000,0.430000,0.140000,5.000000,0.000000,0.000000
0.132528,,2.000000,,,,,,,,,,,,,,,,,,
0.133889,2.000000,,,,,,,,,,,,,,,,,,,
0.142519,,,,,,,,-1.300000,-2.600000,63.000000,61.000000,60.937500,60.656250,60.593750,0.730000,0.450000,0.210000,5.000000,0.000000,0.000000
0.148719,,,3.000000,,,,,,,,,,,,,,,,,
0.152545,,,,,,,,-1.250000,-2.500000,63.000000,61.000000,60.937500,60.656250,60.593750,0.750000,0.570000,0.320000,5.000000,0.000000,0.000000
0.162598,,,,,,,,-1.230000,-2.400000,63.000000,61.093750,60.875000,60.656250,60.531250,0.750000,0.550000,-0.010000,5.000000,0.000000,0.000000
0.165864,,3.000000,,,,,,,,,,,,,,,,,,
0.167214,3.000000,,,,,,,,,,,,,,,,,,,
0.172178,,,,,,,,-1.200000,-2.200000,63.000000,61.093750,60.875000,60.656250,60.531250,0.720000,0.520000,0.150000,5.000000,0.000000,0.000000
0.182032,,,4.000000,,,,,,,,,,,,,,,,,
0.182327,,,,,,,,-1.230000,-2.100000,63.500000,61.250000,61.031250,60.625000,60.593750,0.720000,0.430000,0.120000,5.000000,0.000000,0.000000
0.192498,,,,,,,,-1.200000,-2.000000,63.500000,61.250000,61.031250,60.625000,60.593750,0.740000,0.510000,0.250000,5.000000,0.000000,0.000000
0.199240,,4.000000,,,,,,,,,,,,,,,,,,
0.200596,4.000000,,,,,,,,,,,,,,,,,,,
0.202400,,,,,,,,-1.250000,-1.900000,63.500000,61.156250,60.906250,60.875000,60.687500,0.740000,0.740000,0.320000,5.000000,0.000000,0.000000
