SV_CAN_VER,1
Time,CAM_FC,CAM_SR,CAM_SL,CAM_SVM_F,CAM_SVM_R,CAM_SVM_L,CAM_SVM_B,Lh_Neighbor_LaneMark_Model_A_C2,Lh_Neighbor_LaneMark_Model_B_C1,Lh_Neighbor_LaneMark_Model_dA_C3,Lh_Neighbor_LaneMark_Pos_C0,Rh_Neighbor_LaneMark_Model_A_C2,Rh_Neighbor_LaneMark_Model_B_C1,Rh_Neighbor_LaneMark_Model_dA_C3,Rh_Neighbor_LaneMark_Pos_C0,LaneMarkModelA_C2_Lh_ME,LaneMarkPosition_C0_Lh_ME,LaneMarkHeadingAngle_C1_Lh_ME,LaneMarkModelDerivA_C3_Lh_ME,LaneMarkModelA_C2_Rh_ME,LaneMarkPosition_C0_Rh_ME,LaneMarkHeadingAngle_C1_Rh_ME,LaneMarkModelDerivA_C3_Rh_ME,Lh_View_End_Longitudinal_Dist,Rh_View_End_Longitudinal_Dist,Lh_View_Start_Longitudinal_Dist,Rh_View_Start_Longitudinal_Dist,LaneMark_Confidence_Ln_ME,LaneMark_Confidence_Rn_ME,Lh_Neightbor_Avail,Quality_Lh_ME,LaneMark_Confidence_Lh_ME,Quality_Rh_ME,LaneMark_Confidence_Rh_ME,Lh_Neightbor_Type,Rh_Neightbor_Type,Classification_Lh_ME,Classification_Rh_ME,Marker_Width_Lh_ME,Marker_Width_Rh_ME,Lane_Track_ID_Rh_ME,Lane_Track_ID_Lh_ME,Lh_Guardrail,Rh_Guardrail
0.068510,,,,,,,,0.001430,0.013283,-0.000009,-6.970000,0.000338,-0.000395,0.000004,3.400000,0.000867,-3.170000,0.038685,-0.000008,0.001000,0.440000,0.035754,-0.000002,22.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.280000,0.000000,0.000000,0.000000,0.000000
0.082056,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.098473,,,,,,,,0.000965,0.025984,-0.000003,-6.940000,0.000338,-0.000395,0.000004,3.400000,0.000866,-3.150000,0.037708,-0.000006,0.000982,0.450000,0.036731,-0.000001,29.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.190000,0.270000,0.000000,0.000000,0.000000,0.000000
0.099201,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.100555,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.115429,,,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.128612,,,,,,,,0.000957,0.026961,-0.000003,-6.910000,0.000349,-0.003326,0.000004,3.420000,0.000832,-3.110000,0.036731,-0.000007,0.000969,0.480000,0.037708,-0.000001,29.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.190000,0.270000,0.000000,0.000000,0.000000,0.000000
0.132528,,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133889,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.148719,,,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.158395,,,,,,,,0.000952,0.026961,-0.000003,-6.900000,0.000360,-0.004303,0.000004,3.410000,0.000814,-3.100000,0.036731,-0.000007,0.000984,0.510000,0.036731,-0.000002,29.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.190000,0.270000,0.000000,0.000000,0.000000,0.000000
0.165864,,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.167214,3.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.182032,,,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.188453,,,,,,,,0.000733,0.034777,0.000002,-6.850000,0.000367,-0.004303,0.000004,3.410000,0.000837,-3.060000,0.036731,-0.000004,0.001013,0.520000,0.036731,-0.000002,32.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.290000,0.000000,0.000000,0.000000,0.000000
0.199240,,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.200596,4.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.215392,,,5.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.218459,,,,,,,,0.000736,0.034777,0.000002,-6.830000,-0.002333,0.039662,0.000042,3.220000,0.000824,-3.040000,0.035754,-0.000004,0.001013,0.540000,0.037708,-0.000002,32.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.290000,0.000000,0.000000,0.000000,0.000000
0.232628,,5.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.233930,5.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.248479,,,,,,,,0.000739,0.035754,0.000002,-6.820000,-0.002277,0.036731,0.000042,3.240000,0.000808,-3.020000,0.034777,-0.000004,0.001011,0.560000,0.037708,-0.000002,32.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.290000,0.000000,0.000000,0.000000,0.000000
0.248787,,,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.265851,,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.267204,6.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.278464,,,,,,,,0.000742,0.035754,0.000002,-6.800000,-0.002217,0.033800,0.000042,3.260000,0.000791,-3.020000,0.032823,-0.000003,0.000993,0.590000,0.038685,-0.000003,32.000000,66.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.290000,0.000000,0.000000,0.000000,0.000000
0.282024,,,7.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.299211,,7.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.300573,7.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.308481,,,,,,,,0.000651,0.038685,0.000001,-6.760000,-0.002159,0.031846,0.000042,3.270000,0.000772,-2.990000,0.039662,-0.000011,0.000997,0.600000,0.039662,-0.000003,30.000000,67.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.270000,0.000000,0.000000,0.000000,0.000000
0.315389,,,8.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.332570,,8.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.333882,8.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.338432,,,,,,,,0.000652,0.038685,0.000001,-6.750000,-0.002119,0.032823,0.000041,3.280000,0.000754,-2.960000,0.039662,-0.000011,0.001012,0.610000,0.039662,-0.000003,30.000000,67.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.270000,0.000000,0.000000,0.000000,0.000000
0.348755,,,9.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.365911,,9.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.367217,9.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.368572,,,,,,,,0.000653,0.039662,0.000001,-6.730000,-0.002061,0.029892,0.000041,3.300000,0.000794,-2.910000,0.037708,-0.000004,0.001003,0.630000,0.040639,-0.000002,30.000000,67.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.270000,0.000000,0.000000,0.000000,0.000000
0.382079,,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.398452,,,,,,,,0.000654,0.039662,0.000001,-6.710000,-0.002004,0.027938,0.000041,3.310000,0.000789,-2.890000,0.037708,-0.000004,0.001013,0.650000,0.040639,-0.000002,30.000000,67.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.180000,0.270000,0.000000,0.000000,0.000000,0.000000
0.399218,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.400589,10.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.415426,,,11.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.428534,,,,,,,,0.000632,0.042593,-0.000005,-6.670000,-0.001947,0.025984,0.000041,3.320000,0.000794,-2.870000,0.040639,-0.000003,0.001004,0.660000,0.041616,-0.000002,32.000000,67.000000,0.000000,0.000000,0.000000,0.000000,3.000000,3.000000,0.000000,3.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.190000,0.280000,0.000000,0.000000,0.000000,0.000000
0.432539,,11.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.433887,11.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.448698,,,12.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
