SV_CAN_VER,2
Time,CAM_FC,CAM_SR,CAM_SL,CAM_SVM_F,CAM_SVM_R,CAM_SVM_L,CAM_SVM_B,AngleHeading,AngleHeadingStdev,AnglePitch,AnglePitchStdev,AngleRoll,AngleRollStdev,AngRateDown,AngRateForward,AngRateLateral,AngRateX,AngRateY,AngRateZ,PosAlt,PosDownStdev,PosEastStdev,PosLat,PosLon,PosNorthStdev,GpsAttMode,GpsVelMode,GpsPosMode,GpsNumSats,TimeHour,TimeMinute,TimeSecond,TimeHSecond,TimeDay,TimeMonth,TimeCentury,TimeYear,Speed2D,VelDown,VelEast,VelNorth,VelLateral,VelForward,AccelZ,AccelY,AccelX,AccelSlip,AccelDown,AccelLateral,AccelForward
0.0910415,,,,,,,,50.5700000,0.1501149,0.4600000,0.0257831,-1.3700000,0.0269290,-0.7800000,-0.4200000,-0.6000000,0.1300000,0.6600000,-1.1500000,17.8470000,0.0350000,0.0140000,37.5157874,126.5342829,0.0180000,0.0000000,6.0000000,6.0000000,7.0000000,2.0000000,47.0000000,7.0000000,0.0400000,4.0000000,11.0000000,20.0000000,20.0000000,24.8300000,0.1000000,19.1900000,15.7500000,0.0200000,24.8300000,-9.8000000,-0.0900000,0.1200000,0.1900000,-9.8000000,-0.3200000,0.0400000
0.091143,,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.095158,,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1014054,,,,,,,,50.5500000,0.1501149,0.4600000,0.0257831,-1.3800000,0.0269290,-1.1700000,0.1200000,0.6400000,-0.7000000,-1.3700000,-0.7800000,17.8450000,0.0350000,0.0140000,37.5157902,126.5342873,0.0180000,0.0000000,6.0000000,6.0000000,7.0000000,2.0000000,47.0000000,7.0000000,0.0600000,4.0000000,11.0000000,20.0000000,20.0000000,24.8300000,0.1000000,19.1900000,15.7700000,0.0200000,24.8300000,-9.7400000,-0.4500000,0.5200000,-0.3600000,-9.7300000,-0.6900000,0.4500000
0.1216713,,,,,,,,50.5300000,0.1501149,0.4700000,0.0257831,-1.3800000,0.0269290,-0.7400000,-0.7000000,-1.3900000,0.5300000,0.8000000,-1.0200000,17.8430000,0.0350000,0.0140000,37.5157931,126.5342916,0.0180000,0.0000000,6.0000000,6.0000000,7.0000000,2.0000000,47.0000000,7.0000000,0.0800000,4.0000000,11.0000000,20.0000000,20.0000000,24.8500000,0.1000000,19.1900000,15.7800000,0.0200000,24.8500000,-10.1900000,-0.0100000,0.2000000,0.2000000,-10.1900000,-0.2600000,0.1200000
0.123325,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.124434,,,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.128520,,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1510760,,,,,,,,50.5200000,0.1501149,0.4500000,0.0257831,-1.4000000,0.0269290,-1.0400000,0.5200000,0.7700000,-0.9200000,-0.5600000,-0.6000000,17.8410000,0.0350000,0.0140000,37.5157959,126.5342960,0.0180000,0.0000000,6.0000000,6.0000000,7.0000000,2.0000000,47.0000000,7.0000000,0.1000000,4.0000000,11.0000000,20.0000000,20.0000000,24.8400000,0.1000000,19.1800000,15.7800000,0.0100000,24.8400000,-9.7800000,-0.5400000,0.4600000,-0.5300000,-9.7700000,-0.7800000,0.3900000
0.156649,2.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
