frame_id,obj_id,obj_type,obj_confidence,BB_x1,BB_y1,BB_x2,BB_y2,far_BB_x1,far_BB_x2,far_BB_x3,far_BB_x4,far_BB_y1,far_BB_y2,far_BB_y3,far_BB_y4,near_BB_x1,near_BB_x2,near_BB_x3,near_BB_x4,near_BB_y1,near_BB_y2,near_BB_y3,near_BB_y4,long_dist,lat_dist,dist_validity,rel_long_vel,rel_lat_vel,lane_assignment,lane_change,motion_status,motion_category,motion_orientation,cipv_id,cipv_tracked,cipv_lost,cinvl_id,cinvl_tracked,cinvr_id,cinvr_tracked,heading_angle,tracking_age,ttc,opi_headingAngle_status,cpp_ego_lane_confidence,cpp_ego_lane_view_range,cpp_ego_lane_coefficient_0,cpp_ego_lane_coefficient_1,cpp_ego_lane_coefficient_2,cpp_ego_lane_coefficient_3
0,1,7,0.99991,900,587,1025,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.2647,-0.0977134,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,-7.02375e-05,1,0,-1,0,0,0,0,0,0
0,2,7,0.99991,744,598,827,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.5667,4.44484,2,0,0,0,0,0,0,0,-100,0,1,-100,0,-100,0,7.58199e-05,1,0,-1,0,0,0,0,0,0
1,1,7,0.99991,901,584.985,1022.21,699,913.477,1010.09,1009.9,913.1,596.367,596.366,687.6,687.6,901.499,1022.21,1022,901,584.985,584.985,699,699,30.1915,-0.0780668,2,0,0,0,0,1,0,0,-100,0,1,-100,0,-100,0,-0.00260942,2,0,1,0,0,0,0,0,0
1,2,7,0.99991,744,596.974,826.409,666,752.605,818.137,817.8,752.2,603.772,603.871,659.1,658.2,744.518,826.409,826,744,596.974,596.974,666,665,48.4242,4.12581,2,0,0,0,0,1,0,0,-100,0,1,-100,0,-100,0,0.0883044,2,0,1,0,0,0,0,0,0
2,1,7,0.99991,901.389,584.537,1023.87,698.531,913.98,1011.62,1011.42,913.604,595.902,596.091,687.182,687.161,901.887,1023.87,1023.66,901.389,584.537,584.748,698.53,698.531,30.1022,-0.0886594,2,0,0,0,0,1,0,0,-100,0,1,-100,0,-100,0,-0.00265651,3,0,1,0,0,0,0,0,0
2,2,7,0.99991,744.072,596.552,826.135,666.456,752.6,817.955,817.616,752.189,603.459,603.904,659.5,658.74,744.598,826.135,825.723,744.072,596.552,596.958,666.456,665.656,48.1878,4.1939,2,0,0,0,0,1,0,0,-100,0,1,-100,0,-100,0,0.0883082,3,0,1,0,0,0,0,0,0
3,1,7,0.99991,901.941,584.332,1024.05,698.586,914.489,1011.83,1011.64,914.114,595.82,595.855,686.751,687.105,902.439,1024.05,1023.84,901.941,584.332,584.415,698.185,698.586,29.9711,-0.0951565,2,0,0,0,0,1,0,9,-100,0,1,-100,0,-100,0,-0.00270876,4,0,1,0,0,0,0,0,0
3,2,7,0.99991,744.049,597.261,825.803,667.105,752.652,817.575,817.235,752.24,604.17,604.553,660.129,659.611,744.577,825.803,825.391,744.049,597.261,597.627,667.105,666.57,47.8486,4.20261,2,0,0,0,0,1,0,9,-100,0,1,-100,0,-100,0,0.088315,4,0,1,0,0,0,0,0,0
4,1,7,0.99991,902.569,584.479,1024.3,698.681,915.072,1012.12,1011.93,914.699,596.027,596.001,686.627,687.134,903.065,1024.3,1024.09,902.569,584.479,584.513,698.115,698.681,29.8138,-0.0964464,2,0,0,0,0,1,1,9,-100,0,1,-100,0,-100,0,-0.00275684,5,0,1,0,0,0,0,0,0
4,2,7,0.99991,743.331,598.461,824.774,668.287,751.924,816.626,816.286,751.509,605.36,605.699,661.272,661.024,743.862,824.774,824.36,743.331,598.461,598.812,668.287,668.051,47.4568,4.20575,2,0,0,0,0,1,1,9,-100,0,1,-100,0,-100,0,0.0883491,5,0,1,0,0,0,0,0,0
5,1,7,0.99991,902.379,585.293,1024.36,699.358,915,1012.08,1011.89,914.626,596.683,596.632,687.362,687.924,902.875,1024.36,1024.15,902.379,585.293,585.307,698.732,699.358,29.6539,-0.0964512,2,0,0,0,0,1,1,9,-100,0,1,-100,0,-100,0,-0.0028,6,0,1,0,0,0,0,0,0
5,2,7,0.99991,742.167,599.82,823.62,669.418,750.739,815.574,815.233,750.322,606.677,606.825,662.377,662.269,742.699,823.62,823.204,742.167,599.82,599.972,669.418,669.315,47.0585,4.20487,2,0,0,0,0,1,1,9,-100,0,1,-100,0,-100,0,0.0884081,6,0,1,0,0,0,0,0,0
6,1,7,0.99991,901.751,586.517,1023.86,700.319,914.25,1011.76,1011.57,913.875,597.802,597.779,688.7,688.93,902.247,1023.86,1023.65,901.751,586.517,586.519,700.064,700.319,29.5091,-0.0923375,2,0,0,0,0,1,1,9,-100,0,1,-100,0,-100,0,-0.00283156,7,0,1,0,0,0,0,0,0
6,2,7,0.99991,741.247,601.012,822.265,670.275,749.805,814.291,813.95,749.391,607.839,607.92,663.213,662.997,741.777,822.265,821.849,741.247,601.012,601.077,670.275,670.042,46.6923,4.2041,2,0,0,0,0,1,1,9,-100,0,1,-100,0,-100,0,0.0884895,7,0,1,0,0,0,0,0,0
7,1,7,0.99991,900.859,587.421,1023.43,701.565,913.483,1011.25,1011.06,913.106,598.917,598.709,689.827,690.12,901.358,1023.43,1023.21,900.859,587.618,587.421,701.262,701.565,29.3615,-0.0852143,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,-0.00284861,8,0,1,0,0,0,0,0,0
7,2,7,0.99991,740.225,601.68,821.498,671.01,748.888,813.462,813.119,748.473,608.466,608.521,663.971,663.71,740.756,821.498,821.081,740.225,601.68,601.709,671.01,670.723,46.3482,4.20074,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,0.0885878,8,0,1,0,0,0,0,0,0
8,1,7,0.99991,900.489,587.988,1022.43,702.002,913.206,1010.2,1010,912.83,599.466,599.187,690.333,690.646,900.987,1022.43,1022.21,900.489,588.263,587.988,701.685,702.002,29.2366,-0.0763751,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,-0.00285075,9,0,1,0,0,0,0,0,0
8,2,7,0.99991,740.028,601.699,820.836,671.25,748.588,812.911,812.566,748.171,608.451,608.513,664.255,663.807,740.56,820.836,820.416,740.028,601.699,601.714,671.25,670.753,46.041,4.19269,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,0.0886949,9,0,1,0,0,0,0,0,0
9,1,7,0.99991,899.88,588.572,1021.33,702.211,912.459,1009.27,1009.08,912.082,600.032,599.896,690.408,690.717,900.379,1021.33,1021.11,899.88,588.686,588.572,701.881,702.211,29.1431,-0.0653912,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,-0.00283638,10,0,1,0,0,0,0,0,0
9,2,7,0.99991,739.362,601.872,819.904,671.114,747.886,812.028,811.683,747.47,608.662,608.709,664.117,663.749,739.892,819.904,819.485,739.362,601.872,601.879,671.114,670.705,45.7867,4.1886,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,0.0888104,10,0,1,0,0,0,0,0,0
10,1,7,0.99991,899.441,588.383,1020.71,701.58,911.89,1008.8,1008.6,911.514,599.738,599.861,690.007,690.112,899.94,1020.71,1020.49,899.441,588.383,588.534,701.447,701.58,28.8577,-0.0548089,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,-0.0028086,11,0,1,0,0,0,0,0,0
10,2,7,0.99991,738.886,601.928,818.304,670.581,747.297,810.565,810.223,746.884,608.66,608.868,663.702,663.355,739.413,818.304,817.887,738.886,601.928,602.119,670.581,670.216,45.4258,4.17514,2,0,0,0,0,1,1,9,1,0,0,-100,0,-100,0,0.0889357,11,0,1,0,0,0,0,0,0
11,1,7,0.99991,899.037,588.05,1020.24,701.287,911.521,1008.31,1008.12,911.143,599.282,599.684,689.967,689.97,899.537,1020.24,1020.03,899.037,588.05,588.503,701.233,701.287,29.0857,-0.0466003,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00277024,12,13.3208,1,0,0,0,0,0,0
11,2,7,0.99991,738.276,601.465,817.441,670.111,746.755,809.644,809.301,746.342,608.249,608.529,663.233,662.892,738.804,817.441,817.023,738.276,601.465,601.738,670.111,669.762,45.157,4.1712,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0890688,12,5.22354,1,0,0,0,0,0,0
11,3,7,0.99981,841.281,612.264,884.084,646.876,841.43,869.098,868.964,841.281,617.421,617.118,643.78,643.809,848.127,884.084,883.92,847.939,612.448,612.264,646.876,646.856,85.5516,3.99502,2,0,0,2,0,0,0,0,1,0,0,3,1,-100,0,0.0682511,1,0,1,0,0,0,0,0,0
12,1,7,0.99991,898.599,587.428,1019.99,700.643,911.265,1007.88,1007.68,910.887,598.624,599.006,689.407,689.029,899.098,1019.99,1019.77,898.599,587.428,587.81,700.643,700.265,29.2228,-0.0395244,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00272378,13,22.2361,1,0,0,0,0,0,0
12,2,7,0.99991,736.734,600.61,816.176,669.231,745.244,808.379,808.036,744.828,607.417,607.872,662.426,662.242,737.266,816.176,815.758,736.734,600.61,601.099,669.231,669.081,45.0688,4.18765,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0892133,13,5.61351,1,0,0,0,0,0,0
12,3,7,0.99981,839.756,611.378,882.852,646.335,839.907,867.924,867.787,839.756,616.523,616.231,643.275,643.287,846.587,882.852,882.685,846.397,611.553,611.378,646.335,646.17,85.3039,4.04202,2,0,0,2,0,1,0,0,1,0,0,3,1,-100,0,0.068983,2,0,1,0,0,0,0,0,0
13,1,7,0.99991,898.195,586.705,1019.24,699.957,910.8,1007.19,1007,910.423,597.938,598.311,688.704,688.174,898.695,1019.24,1019.02,898.195,586.705,587.059,699.957,699.407,29.3146,-0.031603,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00266931,14,15.4392,1,0,0,0,0,0,0
13,2,7,0.99991,735.582,599.195,814.842,668.629,744.038,807.12,806.772,743.616,606.1,606.819,661.801,661.497,736.121,814.842,814.419,735.582,599.195,599.966,668.629,668.377,45.0797,4.21473,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0893696,14,6.70484,1,0,0,0,0,0,0
13,3,7,0.99991,838.135,610.521,881.427,645.646,838.288,866.382,866.242,838.135,615.668,615.265,642.629,642.629,845.057,881.427,881.259,844.866,610.768,610.521,645.646,645.322,85.2024,4.09921,2,0,0,2,0,1,0,0,1,0,0,3,1,-100,0,0.0694404,3,0,1,0,0,0,0,0,0
14,1,7,0.99991,898.479,585.976,1018,698.814,910.801,1006.23,1006.03,910.426,597.193,597.384,687.594,687.021,898.975,1018,1017.77,898.479,585.976,586.119,698.814,698.193,29.3997,-0.0237792,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00260796,15,17.2511,1,0,0,0,0,0,0
14,2,7,0.99991,734.98,597.962,813.637,667.721,743.357,806.003,805.652,742.932,604.868,605.697,660.956,660.604,735.522,813.637,813.211,734.98,597.962,598.852,667.721,667.428,45.1548,4.24557,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0895354,15,10.1576,1,0,0,0,0,0,0
14,3,7,0.99991,836.761,609.514,879.905,644.716,836.915,865.063,864.921,836.761,614.677,614.094,641.745,641.739,843.659,879.905,879.736,843.467,609.881,609.514,644.716,644.387,85.1801,4.16195,2,0,0,2,0,1,0,9,1,0,0,3,1,-100,0,0.0699092,4,0,1,0,0,0,0,0,0
15,1,7,0.99991,898.647,585.052,1017.15,697.923,910.917,1005.44,1005.24,910.54,596.216,596.509,686.799,686.191,899.143,1017.15,1016.92,898.647,585.052,585.306,697.923,697.276,29.4901,-0.0169438,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00254149,16,32.728,1,0,0,0,0,0,0
15,2,7,0.99991,734.178,597.206,812.338,666.705,742.494,804.777,804.426,742.069,604.109,604.824,659.964,659.606,734.719,812.338,811.911,734.178,597.206,597.966,666.705,666.392,45.2631,4.28009,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0897097,16,16.3263,1,0,0,0,0,0,0
15,3,7,0.99981,835.361,608.658,878.487,643.593,835.515,863.58,863.438,835.361,613.74,613.186,640.721,640.719,842.316,878.487,878.318,842.124,608.931,608.658,643.593,643.273,85.2389,4.22841,2,0,0,2,0,1,1,9,1,0,0,3,1,-100,0,0.0703881,5,0,1,0,0,0,0,0,0
16,1,7,0.99991,897.757,584.906,1015.82,697.598,909.994,1004.17,1003.97,909.617,596.097,596.435,686.448,685.822,898.255,1015.82,1015.6,897.757,584.906,585.209,697.598,696.937,29.586,-0.00552066,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.0025238,17,32.728,1,0,0,0,0,0,0
16,2,7,0.99991,733.642,596.878,811.489,665.66,741.937,803.927,803.578,741.517,603.753,604.253,658.943,658.597,734.178,811.489,811.064,733.642,596.878,597.398,665.66,665.333,45.3816,4.31246,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0897394,17,-32.728,1,0,0,0,0,0,0
16,3,7,0.99991,833.884,607.867,877.319,642.536,834.038,861.998,861.857,833.884,612.987,612.56,639.67,639.674,841.028,877.319,877.15,840.835,608.018,607.867,642.536,642.292,85.3567,4.29489,2,0,0,2,0,1,1,9,1,0,0,3,1,-100,0,0.0708549,6,0,1,0,0,0,0,0,0
17,1,7,0.99991,896.277,585.098,1015.37,697.717,908.67,1003.59,1003.38,908.291,596.271,596.626,686.566,685.936,896.778,1015.37,1015.14,896.277,585.098,585.418,697.717,697.053,29.673,0.00765119,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00247263,18,-32.728,1,0,0,0,0,0,0
17,2,7,0.99991,732.917,596.533,810.622,664.839,741.225,803.049,802.7,740.808,603.417,603.655,658.097,657.773,733.45,810.622,810.196,732.917,596.533,596.761,664.839,664.504,45.4531,4.33952,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.089829,18,-32.728,1,0,0,0,0,0,0
17,3,7,0.99991,832.441,607.308,876.108,641.844,832.594,860.593,860.453,832.441,612.467,612.223,638.977,638.976,839.663,876.108,875.939,839.469,607.318,607.308,641.844,641.637,85.4874,4.36175,2,0,0,2,0,1,1,9,1,0,0,3,1,-100,0,0.0712935,7,0,1,0,0,0,0,0,0
18,1,7,0.99991,894.234,585.393,1014.13,697.601,906.754,1002.28,1002.08,906.372,596.594,596.738,686.424,686.169,894.739,1014.13,1013.9,894.234,585.393,585.523,697.601,697.332,29.7485,0.0264131,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00238168,19,-32.728,1,0,0,0,0,0,0
18,2,7,0.99991,732.075,596.234,809.909,664.279,740.447,802.285,801.937,740.031,603.04,603.35,657.604,657.107,732.606,809.909,809.485,732.075,596.234,596.519,664.279,663.759,45.5144,4.36515,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0899766,19,-32.728,1,0,0,0,0,0,0
18,3,7,0.99991,831.251,607.063,874.607,641.51,831.405,859.055,858.915,831.251,612.209,612.066,638.649,638.643,838.475,874.607,874.438,838.281,607.069,607.063,641.51,641.396,85.6009,4.42865,2,0,0,2,0,1,1,9,1,0,0,3,1,-100,0,0.0717069,8,0,1,0,0,0,0,0,0
19,1,7,0.99991,892.544,585.764,1012.93,697.304,905.121,1001.07,1000.86,904.737,596.845,596.903,686.244,686.14,893.051,1012.93,1012.7,892.544,585.764,585.816,697.304,697.195,29.9651,0.04712,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,-0.00224781,20,-32.728,1,3,78,-0.375669,-0.00526514,0.000659964,-6.58527e-08
19,2,7,0.99991,731.103,595.919,808.615,663.864,739.425,801.067,800.718,739.008,602.693,603.033,657.214,656.641,731.634,808.615,808.189,731.103,595.919,596.23,663.864,663.263,45.5639,4.39289,2,0,0,0,0,1,1,9,1,0,0,3,1,-100,0,0.0901837,20,-32.728,1,3,78,-0.375669,-0.00526514,0.000659964,-6.58527e-08
19,3,7,0.99991,829.947,607.152,872.799,641.547,830.101,857.296,857.156,829.947,612.273,612.183,638.679,638.664,837.107,872.799,872.629,836.912,607.157,607.152,641.547,641.411,85.6987,4.49988,2,0,0,2,0,1,1,9,1,0,0,3,1,-100,0,0.0721031,9,0,1,3,78,-0.375669,-0.00526514,0.000659964,-6.58527e-08
20,1,7,0.99991,891.461,585.43,1011.48,697.172,904.01,999.675,999.466,903.624,596.656,596.639,685.664,685.979,891.971,1011.48,1011.25,891.461,585.43,585.451,696.821,697.172,29.9387,0.0678641,2,0,0,1,0,1,1,9,1,0,0,2,1,-100,0,-0.0012093,21,-32.728,1,3,77.4532,-0.380258,-0.00458534,0.000660562,-1.12125e-07
20,2,7,0.99991,730.081,596.026,807.242,663.94,738.397,799.719,799.37,737.982,602.808,603.352,657.253,656.456,730.611,807.242,806.816,730.081,596.026,596.537,663.94,663.112,45.6251,4.42431,2,0,0,2,0,1,1,9,1,0,0,2,1,-100,0,0.0904494,21,-32.728,1,3,77.4532,-0.380258,-0.00458534,0.000660562,-1.12125e-07
20,3,7,0.99991,828.648,607.413,871.371,641.79,828.802,855.756,855.615,828.648,612.548,612.488,638.878,638.859,835.751,871.371,871.199,835.555,607.417,607.413,641.79,641.565,85.7929,4.57013,2,0,0,2,0,1,2,9,1,0,0,2,1,-100,0,0.0724864,10,0,1,3,77.4532,-0.380258,-0.00458534,0.000660562,-1.12125e-07
