frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
0,1,900,587,1025,695,29.4497,-0.0977134,0,0,0,0,0,1.94916,1.67804,1.85,1.52,3.70454,0.170084,-1.68174,2.0228,0,29.4498,29.4496,29.4498,29.4496,33.9998,33.9996,33.9998,33.9996,0.827287,-1.02271,0.827287,-1.02271,0.826967,-1.02303,0.826967,-1.02303,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,2,744,598,827,665,47.7517,4.44484,0,0,0,0,0,2.05524,1.66887,1.85,1.52,2.09162,-5.22994,-6.27379,-4.18217,-3.83685,47.7516,47.7518,47.7516,47.7518,52.3016,52.3018,52.3016,52.3018,5.36984,3.51984,5.36984,3.51984,5.37019,3.52019,5.37019,3.52019,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,3,852,611,892,643,0,0,0,0,0,0,0,0,0,1.85,1.52,1.1822,-2.50956,-3.10033,-1.91813,-1.82579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
0,4,877,611,925,651,0,0,0,0,0,0,0,0,0,1.85,1.52,1.42071,-1.65135,-2.36135,-0.940648,-0.886987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1,1,901,584.985,1022.21,699,29.3765,-0.0780668,0,0,16.4089,0.00090324,0,1.8888,1.6771,1.85,1.52,3.58585,0.140791,-1.65169,1.93416,0,29.3789,29.3741,29.3789,29.3741,33.9289,33.9241,33.9289,33.9241,0.84693,-1.00306,0.84693,-1.00306,0.835057,-1.01494,0.835057,-1.01494,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,2,744,596.974,826.409,666,47.6092,4.12581,0,0,16.4025,-0.00772179,0,2.01708,1.63211,1.85,1.52,2.40691,-5.07326,-6.2742,-3.86729,0,47.5276,47.6908,47.5276,47.6908,52.0599,52.2231,52.0599,52.2231,5.0472,3.20441,5.0472,3.20441,5.44847,3.60568,5.44847,3.60568,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,3,851,609.979,894.149,643,0,0,0,0,16.2136,-0.0155638,0,0,0,1.85,1.52,1.06436,-2.39131,-2.92323,-1.85887,-3.12993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1,4,877.098,610.327,925.097,652.347,0,0,0,0,16.1595,-0.00566183,0,0,0,1.85,1.52,1.42071,-1.64829,-2.3583,-0.937589,-0.88413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2,1,901.389,584.537,1023.87,698.531,29.2872,-0.0886594,0,0,16.2837,-0.00797658,0,1.89931,1.68466,1.85,1.52,3.62361,0.171199,-1.64018,1.98343,0,29.2897,29.2847,29.2897,29.2847,33.8397,33.8347,33.8397,33.8347,0.836337,-1.01366,0.836337,-1.01366,0.824036,-1.02596,0.824036,-1.02596,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
2,2,744.072,596.552,826.135,666.456,47.3728,4.1939,0,0,16.0952,0.0482946,0,1.99683,1.57912,1.85,1.52,2.39664,-5.07627,-6.2721,-3.87545,0,47.2912,47.4544,47.2912,47.4544,51.8235,51.9867,51.8235,51.9867,5.11529,3.2725,5.11529,3.2725,5.51659,3.6738,5.51659,3.6738,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
