frame_id,tracking_id,BB_x1,BB_y1,BB_x2,BB_y2,long_dist,lat_dist,rel_long_vel,rel_lat_vel,abs_long_vel,abs_lat_vel,ttc,size_2d_width,size_2d_height,size_3d_width,size_3d_height,viewing_angle,azimuth_angle,left_angle,right_angle,side_angle,vcs_3d_bbox_x_1,vcs_3d_bbox_x_2,vcs_3d_bbox_x_3,vcs_3d_bbox_x_4,vcs_3d_bbox_x_5,vcs_3d_bbox_x_6,vcs_3d_bbox_x_7,vcs_3d_bbox_x_8,vcs_3d_bbox_y_1,vcs_3d_bbox_y_2,vcs_3d_bbox_y_3,vcs_3d_bbox_y_4,vcs_3d_bbox_y_5,vcs_3d_bbox_y_6,vcs_3d_bbox_y_7,vcs_3d_bbox_y_8,vcs_3d_bbox_z_1,vcs_3d_bbox_z_2,vcs_3d_bbox_z_3,vcs_3d_bbox_z_4,vcs_3d_bbox_z_5,vcs_3d_bbox_z_6,vcs_3d_bbox_z_7,vcs_3d_bbox_z_8,validity_dist,validity_size_2d,validity_size_3d,validity_rel_velacc,validity_abs_velacc,validity_ttc,de_state
0,1,1096,604,1157,650,71.6001,-6.56362,0,0,0,0,0,2.31261,1.71168,1.85,1.52,1.52594,5.15919,4.3954,5.92134,4.12386,71.6002,71.6001,71.6002,71.6001,76.1502,76.1501,76.1502,76.1501,-5.63862,-7.48862,-5.63862,-7.48862,-5.63882,-7.48882,-5.63882,-7.48882,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,2,1195,594,1234,636,167.244,-22.9754,0,0,0,0,0,1.95,3.62875,1.9,1.95,0.852515,7.74902,7.32236,8.17488,7.03608,167.244,167.244,167.244,167.244,172.399,172.399,172.399,172.399,-22.0254,-23.9254,-22.0254,-23.9254,-22.0255,-23.9255,-22.0255,-23.9255,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
0,3,1152,604,1191,632,104.803,-12.0558,0,0,0,0,0,2.18551,1.52,1.85,1.52,0.91607,6.46143,6.00302,6.91909,5.77458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
0,4,913,566,1094,730,20.0586,-0.509706,0,0,0,0,0,1.94768,1.75783,1.85,1.52,5.3617,1.38551,-1.29708,4.06462,0,20.0616,20.0557,20.0616,20.0557,24.6116,24.6057,24.6116,24.6057,0.41529,-1.4347,0.41529,-1.4347,0.400873,-1.44912,0.400873,-1.44912,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
0,5,157,567,284,659,0,0,0,0,0,0,0,0,0,2,2.05,1.55557,-21.6065,-22.3799,-20.8243,-19.1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
1,1,1096.21,604.672,1157.21,650,71.6436,-6.55634,0,0,16.6972,-1.92181,0,2.3141,1.7109,1.85,1.52,1.52573,5.16554,4.40186,5.92759,4.1301,71.6436,71.6435,71.6436,71.6435,76.1936,76.1935,76.1936,76.1935,-5.63134,-7.48134,-5.63134,-7.48134,-5.63154,-7.48154,-5.63154,-7.48154,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,2,1193.93,591.988,1233,634,166.979,-21.9161,0,0,16.256,-4.37104,0,1.95,3.54292,1.9,1.95,0.905861,7.46011,7.00674,7.9126,8.1458,167.159,166.798,167.159,166.798,172.22,171.859,172.22,171.859,-20.9835,-22.8488,-20.9835,-22.8488,-21.964,-23.8293,-21.964,-23.8293,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
1,3,1152.21,604,1191.9,632,104.804,-12.0005,0,0,16.5522,-2.78104,0,2.22447,1.52,1.85,1.52,0.932394,6.47981,6.01322,6.94561,5.78054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
1,4,914,566.042,1094.07,731,19.9872,-0.471726,0,0,16.8446,-0.579615,0,1.93434,1.6989,1.85,1.52,5.33146,1.4007,-1.26678,4.06468,0,20.0099,19.9645,20.0099,19.9645,24.5585,24.5131,24.5585,24.5131,0.452995,-1.39645,0.452995,-1.39645,0.341297,-1.50815,0.341297,-1.50815,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
1,5,137,567.023,282.514,667.5,0,0,0,0,17.0298,-1.17474,0,0,0,2,2.05,1.68929,-22.0439,-21.194,-22.8832,-19.2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
2,1,1096.66,604.77,1157.41,650,71.7081,-6.56813,0,0,16.8044,-1.86602,0,2.3083,1.70992,1.85,1.52,1.51877,5.17488,4.41469,5.93346,4.14331,71.7081,71.7081,71.7081,71.7081,76.2581,76.258,76.2581,76.258,-5.64313,-7.49313,-5.64313,-7.49313,-5.64334,-7.49334,-5.64334,-7.49334,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
2,2,1193.78,591.875,1232.51,634.543,166.841,-21.8869,0,0,16.1282,-4.19511,0,1.95,3.55914,1.9,1.95,0.877614,7.44158,7.00237,7.87998,8.13142,167.024,166.659,167.024,166.659,172.083,171.718,172.083,171.718,-20.9547,-22.8192,-20.9547,-22.8192,-21.9456,-23.8102,-21.9456,-23.8102,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
2,3,1152.66,603.766,1192.2,632,104.788,-12.0082,0,0,16.5643,-2.68982,0,2.21543,1.52,1.85,1.52,0.928172,6.49072,6.02624,6.95441,5.79407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
2,4,913.212,565.571,1095.26,731.453,19.9257,-0.495504,0,0,16.7902,-0.576069,0,1.94244,1.6813,1.85,1.52,5.39017,1.40677,-1.29012,4.10006,0,19.9478,19.9036,19.9478,19.9036,24.4965,24.4523,24.4965,24.4523,0.429233,-1.42024,0.429233,-1.42024,0.320615,-1.52886,0.320615,-1.52886,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
2,5,125.004,566.909,265.266,665.363,0,0,0,0,17.6212,-0.774949,0,0,0,2,2.05,1.67375,-22.3496,-21.5075,-23.1812,-19.6525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
3,1,1097.13,604.993,1158.26,650,71.8148,-6.59202,0,0,17.0599,-1.84441,0,2.3277,1.70898,1.85,1.52,1.52717,5.19554,4.43113,5.9583,4.15732,71.8148,71.8148,71.8148,71.8148,76.3648,76.3648,76.3648,76.3648,-5.66702,-7.51702,-5.66702,-7.51702,-5.66722,-7.51722,-5.66722,-7.51722,1.52,1.52,0,0,1.52,1.52,0,0,1,1,1,0,0,0,4
3,2,1194.19,591.411,1232.83,634.568,166.702,-21.8749,0,0,15.8771,-4.04658,0,1.95,3.58994,1.9,1.95,0.871469,7.45049,7.01435,7.88582,8.14092,166.887,166.516,166.887,166.516,171.943,171.572,171.943,171.572,-20.9431,-22.8066,-20.9431,-22.8066,-21.949,-23.8124,-21.949,-23.8124,1.95,1.95,0,0,1.95,1.95,0,0,1,1,1,0,0,0,4
3,3,1153.61,603.437,1192.79,631.516,104.762,-12.029,0,0,16.5434,-2.63301,0,2.19519,1.52,1.85,1.52,0.919001,6.5126,6.05272,6.97172,5.82174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4
