frame_id,obj_id,obj_type,obj_confidence,BB_x1,BB_y1,BB_x2,BB_y2,far_BB_x1,far_BB_x2,far_BB_x3,far_BB_x4,far_BB_y1,far_BB_y2,far_BB_y3,far_BB_y4,near_BB_x1,near_BB_x2,near_BB_x3,near_BB_x4,near_BB_y1,near_BB_y2,near_BB_y3,near_BB_y4,long_dist,lat_dist,dist_validity,rel_long_vel,rel_lat_vel,lane_assignment,lane_change,motion_status,motion_category,motion_orientation,cipv_id,cipv_tracked,cipv_lost,cinvl_id,cinvl_tracked,cinvr_id,cinvr_tracked,heading_angle,tracking_age,ttc,opi_headingAngle_status,cpp_ego_lane_confidence,cpp_ego_lane_view_range,cpp_ego_lane_coefficient_0,cpp_ego_lane_coefficient_1,cpp_ego_lane_coefficient_2,cpp_ego_lane_coefficient_3
0,1,7,0.99751,945,620,972,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.216,-0.141681,2,0,0,1,0,0,0,0,2,0,0,3,1,4,1,-1.32434e-05,0,1,-1,0,0,0,0,0,0
0,2,7,0.99591,984,608,1049,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.919,-1.73305,2,0,0,3,0,0,0,0,2,0,0,3,1,4,1,-2.9074e-05,0,1,-1,0,0,0,0,0,0
0,3,7,0.99331,925,619,942,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.706,2.22443,2,0,0,2,0,0,0,0,2,0,0,3,1,4,1,-9.17166e-06,0,1,-1,0,0,0,0,0,0
0,4,7,0.98901,1245,560,1582,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1576,-3.41578,2,0,0,3,0,0,0,0,2,0,0,3,1,4,1,-0.0122104,0,1,-1,0,0,0,0,0,0
1,1,7,0.99751,945.284,620,972.983,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.024,-0.182795,2,0,0,1,0,1,0,0,2,0,0,3,1,4,1,-1.32434e-05,0,2,-1,0,0,0,0,0,0
1,2,7,0.99591,983,607.965,1053.07,666,990.118,1046.06,1046,990,613.766,613.766,660.2,660.2,983.156,1053.07,1053,983,607.965,607.965,666,666,55.6982,-1.7114,2,0,0,3,0,1,0,0,2,0,0,3,1,4,1,-0.0318063,0,2,1,0,0,0,0,0,0
1,3,7,0.98901,924.588,619,942.286,635.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.395,2.23701,2,0,0,2,0,1,0,0,2,0,0,3,1,4,1,-9.17166e-06,0,2,-1,0,0,0,0,0,0
1,4,7,0.98901,1249.47,557.111,1599,818.5,1249.47,1414.92,1416.07,1250,569.036,569.053,753.622,758,1366.63,1596.45,1599,1368,557.115,557.111,811,818.5,13.117,-3.51171,2,0,0,3,0,1,0,0,2,0,0,3,1,4,1,-0.0343009,0,2,1,0,0,0,0,0,0
2,1,7,0.99591,945.243,620,973.03,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.874,-0.184309,2,0,0,1,0,1,0,0,2,0,0,3,1,4,1,-1.32434e-05,0,3,-1,0,0,0,0,0,0
2,2,7,0.99591,984.202,607.543,1051.63,667.072,991.084,1044.89,1044.82,990.965,613.655,613.497,661.109,660.953,984.36,1051.63,1051.55,984.202,607.741,607.543,667.072,666.877,55.5696,-1.74038,2,0,0,3,0,1,0,0,2,0,0,3,1,4,1,-0.0318049,0,3,1,0,0,0,0,0,0
2,3,7,0.98901,924.455,619,942.242,635.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.992,2.23804,2,0,0,2,0,1,0,0,2,0,0,3,1,4,1,-9.17166e-06,0,3,-1,0,0,0,0,0,0
2,4,7,0.98901,1251.43,558.03,1595.81,818.807,1251.43,1418.82,1419.98,1251.97,569.951,571.296,754.53,758.916,1363.85,1593.29,1595.81,1365.21,558.03,559.847,811.307,818.807,13.0391,-3.5145,2,0,0,3,0,1,0,0,2,0,0,3,1,4,1,-0.0346088,0,3,1,0,0,0,0,0,0
3,1,7,0.99751,945.122,620,973.126,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.666,-0.184318,2,0,0,1,0,1,0,9,2,0,0,3,1,4,1,-1.32434e-05,0,4,-1,0,0,0,0,0,0
3,2,7,0.99751,985.206,608.022,1051.4,667.539,991.98,1044.8,1044.73,991.861,614.198,613.96,661.559,661.508,985.362,1051.4,1051.32,985.206,608.296,608.022,667.539,667.451,55.4308,-1.75442,2,0,0,3,0,1,0,9,2,0,0,3,1,4,1,-0.0318187,0,4,1,0,0,0,0,0,0
3,3,7,0.98901,924.353,619,942.356,635.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.507,2.23475,2,0,0,2,0,1,0,9,2,0,0,3,1,4,1,-9.17166e-06,0,4,-1,0,0,0,0,0,0
3,4,7,0.98901,1252.19,557.401,1595.92,817.931,1252.19,1420.71,1421.88,1252.73,569.332,570.761,754.391,758.301,1362.41,1593.4,1595.92,1363.76,557.401,559.329,811.089,817.931,12.981,-3.50624,2,0,0,3,0,1,0,9,2,0,0,3,1,4,1,-0.0230726,0,4,1,0,0,0,0,0,0
4,1,7,0.99591,945.049,619.785,973.347,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.39,-0.186265,2,0,0,1,0,1,1,9,2,0,0,3,1,4,1,-1.32434e-05,0,5,-1,0,0,0,0,0,0
4,2,7,0.99751,986.94,607.794,1051.02,667.723,993.544,1044.6,1044.53,993.426,614.051,613.779,661.699,661.693,987.096,1051.02,1050.95,986.94,608.1,607.794,667.723,667.682,55.2967,-1.76887,2,0,0,3,0,1,1,9,2,0,0,3,1,4,1,-0.0318512,0,5,1,0,0,0,0,0,0
4,3,7,0.99331,924.764,618.783,942.6,634.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.099,2.21714,2,0,0,2,0,1,1,9,2,0,0,3,1,4,1,-9.17166e-06,0,5,-1,0,0,0,0,0,0
4,4,7,0.98901,1253.24,557.868,1595.26,818.567,1253.24,1420.16,1421.33,1253.79,569.583,571.037,755.026,758.781,1362.74,1592.74,1595.26,1364.09,557.868,559.83,811.936,818.567,12.9146,-3.49216,2,0,0,3,0,1,1,9,2,0,0,3,1,4,1,-0.0173044,0,5,1,0,0,0,0,0,0
5,1,7,0.99591,945.011,619.478,973.635,641.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.045,-0.190855,2,0,0,1,0,1,1,9,2,0,0,3,1,4,1,-1.32434e-05,0,6,-1,0,0,0,0,0,0
5,2,7,0.99751,987.661,607.668,1051.68,666.651,994.203,1045.31,1045.24,994.088,613.639,613.535,660.797,660.629,987.813,1051.68,1051.6,987.661,607.805,607.668,666.651,666.449,55.2028,-1.78532,2,0,0,3,0,1,1,9,2,0,0,3,1,4,1,-0.0319005,0,6,1,0,0,0,0,0,0
5,3,7,0.98901,925.361,618.476,942.911,634.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.886,2.18723,2,0,0,2,0,1,1,9,2,0,0,3,1,4,1,-9.17166e-06,0,6,-1,0,0,0,0,0,0
5,4,7,0.98901,1254.56,558.42,1595.52,818.529,1254.56,1422.4,1423.58,1255.11,570.338,571.804,755.898,759.605,1363.11,1593.01,1595.52,1364.46,558.42,560.087,811.671,818.529,12.8424,-3.47705,2,0,0,3,0,1,1,9,2,0,0,3,1,4,1,-0.0138435,0,6,1,0,0,0,0,0,0
6,1,7,0.99591,945.156,619.13,973.911,641.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.647,-0.199599,2,0,0,1,0,1,1,9,2,1,0,3,1,4,1,-1.32434e-05,0,7,-1,0,0,0,0,0,0
6,2,7,0.99751,988.671,606.763,1052.36,665.777,995.153,1046.03,1045.96,995.039,612.695,612.664,659.947,659.708,988.822,1052.36,1052.28,988.671,606.827,606.763,665.777,665.504,55.1573,-1.80587,2,0,0,3,0,1,1,9,2,1,0,3,1,4,1,-0.0319665,0,7,1,0,0,0,0,0,0
6,3,7,0.99591,925.817,617.926,943.217,633.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.822,2.15359,2,0,0,2,0,1,1,9,2,1,0,3,1,4,1,-9.17166e-06,0,7,-1,0,0,0,0,0,0
6,4,7,0.98901,1255.88,559.757,1596.82,820.019,1255.88,1423.5,1424.68,1256.43,571.727,572.745,756.474,760.597,1364.79,1594.3,1596.82,1366.14,559.757,560.698,812.46,820.019,12.76,-3.46158,2,0,0,3,0,1,1,9,2,1,0,3,1,4,1,-0.0115363,0,7,1,0,0,0,0,0,0
7,1,7,0.99751,945.456,618.959,973.844,641.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.239,-0.207933,2,0,0,1,0,1,1,9,2,1,0,3,1,4,1,-1.32434e-05,0,8,-1,0,0,0,0,0,0
7,2,7,0.99751,989.362,606.853,1053.44,665.821,995.913,1047.02,1046.95,995.799,612.676,612.861,660.025,659.574,989.512,1053.44,1053.36,989.362,606.853,607.005,665.821,665.337,55.133,-1.82922,2,0,0,3,0,1,1,9,2,1,0,3,1,4,1,-0.0320484,0,8,1,0,0,0,0,0,0
7,3,7,0.98901,926.045,617.88,943.569,633.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.925,2.12257,2,0,0,2,0,1,1,9,2,1,0,3,1,4,1,-9.17166e-06,0,8,-1,0,0,0,0,0,0
7,4,7,0.98901,1255.91,560.472,1596.71,819.905,1255.91,1425.14,1426.33,1256.47,572.256,573.401,756.644,760.935,1364.96,1594.2,1596.71,1366.31,560.472,561.335,812.078,819.905,12.6917,-3.44714,2,0,0,3,0,1,1,9,2,1,0,3,1,4,1,-0.00988824,0,8,1,0,0,0,0,0,0
8,1,7,0.99751,945.643,619.093,973.807,640.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.869,-0.214717,2,0,0,1,0,1,1,9,2,1,0,3,1,4,1,-1.32434e-05,0,9,-1,0,0,0,0,0,0
8,2,7,0.99751,991.378,606.28,1053.99,666.314,995.438,1046.44,1046.37,995.32,611.616,611.875,660.573,660.181,991.529,1053.99,1053.92,991.378,606.28,606.438,666.314,665.997,55.1257,-1.86017,2,0,0,3,1,1,1,9,2,1,0,3,1,4,1,-0.0320308,0,9,1,0,0,0,0,0,0
8,3,7,0.98201,926.358,617.86,944.159,633.836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.226,2.08733,2,0,0,2,0,1,1,9,2,1,0,3,1,4,1,-9.17166e-06,0,9,-1,0,0,0,0,0,0
8,4,7,0.98201,1255.64,561.221,1596.24,820.4,1255.64,1423.93,1425.11,1256.2,572.235,573.28,756.717,761.076,1366.96,1593.73,1596.24,1368.32,561.221,561.953,812.773,820.4,12.6447,-3.43792,2,0,0,3,0,1,1,9,2,1,0,3,1,4,1,-0.00865221,0,9,1,0,0,0,0,0,0
9,1,7,0.99591,945.738,619.193,973.987,641.095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.542,-0.222573,2,0,0,1,0,1,1,9,2,1,0,3,1,4,1,-1.32434e-05,0,10,-1,0,0,0,0,0,0
9,2,7,0.99801,992.951,606.208,1054.98,666.342,995.821,1046.94,1046.88,995.702,611.318,611.455,660.613,660.268,993.1,1054.98,1054.91,992.951,606.228,606.208,666.342,666.106,55.1322,-1.89495,2,0,0,3,1,1,2,9,2,1,0,3,1,4,1,-0.031922,0,10,1,0,0,0,0,0,0
9,3,7,0.98901,926.686,618.069,944.869,634.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.655,2.04677,2,0,0,2,0,1,2,9,2,1,0,3,1,4,1,-9.17166e-06,0,10,-1,0,0,0,0,0,0
9,4,7,0.98201,1254.64,561.022,1595.22,819.975,1254.64,1421.84,1423.02,1255.2,571.56,572.868,757.162,761.115,1369.53,1592.72,1595.22,1370.91,561.022,562.113,813.038,819.975,12.6192,-3.43576,2,0,0,3,0,1,2,9,2,1,0,3,1,4,1,-0.00769085,0,10,1,0,0,0,0,0,0
10,1,7,0.99591,945.996,619.461,974.264,641.193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.2,-0.234967,2,0,0,1,0,1,1,9,2,1,0,3,1,4,1,-1.32434e-05,0,11,-1,0,0,0,0,0,0
10,2,7,0.99751,994.628,605.521,1056.07,666.148,996.944,1047.82,1047.75,996.824,610.784,610.685,660.441,660.301,994.775,1056.07,1056,994.628,605.802,605.521,666.148,666.132,54.9274,-1.92545,2,0,0,3,1,1,2,9,2,1,0,3,1,4,1,-0.0317556,0,11,1,0,0,0,0,0,0
10,3,7,0.98201,927.233,618.022,945.584,634.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,1.99813,2,0,0,2,0,1,2,9,2,1,0,3,1,4,1,-9.17166e-06,0,11,-1,0,0,0,0,0,0
10,4,7,0.98901,1255.12,560.695,1595.94,819.79,1255.12,1422.85,1424.04,1255.67,571.264,572.376,757.316,761.111,1370.05,1593.43,1595.94,1371.43,560.695,561.724,813.119,819.79,12.3875,-3.42924,2,0,0,3,0,1,2,9,2,1,0,3,1,4,1,-0.00692177,0,11,1,0,0,0,0,0,0
11,1,7,0.99751,946.453,619.617,974.356,641.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.866,-0.248151,2,0,0,1,0,1,1,9,2,1,0,3,1,4,1,-1.32434e-05,0,12,-1,0,0,0,0,0,0
11,2,7,0.99751,995.497,605.519,1057.31,665.812,1000.02,1050.17,1050.11,999.907,611.319,611.112,660.005,659.962,995.643,1057.31,1057.24,995.497,605.823,605.519,665.812,665.805,55.6565,-1.98252,2,0,0,3,1,1,2,9,2,1,0,3,1,4,1,-0.0316567,32.728,12,1,0,0,0,0,0,0
11,3,7,0.98901,927.867,617.798,946.26,634.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.859,1.96423,2,0,0,2,0,1,2,9,2,1,0,3,1,4,1,-9.17166e-06,0,12,-1,0,0,0,0,0,0
11,4,7,0.98201,1255.2,560.328,1595.31,819.7,1255.2,1422.95,1424.14,1255.76,571.122,571.859,757.36,761.092,1370.28,1592.79,1595.31,1371.66,560.328,561.131,813.133,819.7,12.7207,-3.48227,2,0,0,3,0,1,2,9,2,1,0,3,1,4,1,-0.00629251,9.21777,12,1,0,0,0,0,0,0
12,1,7,0.99751,946.906,619.884,974.418,641.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.231,-0.263483,2,0,0,1,0,1,1,9,2,1,0,3,1,4,1,-1.32434e-05,0,13,-1,0,0,0,0,0,0
12,2,7,0.99591,995.933,605.909,1058.79,665.897,1001.5,1052.05,1051.99,1001.39,611.864,611.773,659.953,659.933,996.078,1058.79,1058.72,995.933,606.045,605.909,665.897,665.893,56.086,-2.02912,2,0,0,3,1,1,2,9,2,1,0,3,1,4,1,-0.031642,32.728,13,1,0,0,0,0,0,0
12,3,7,0.99331,928.783,617.485,946.997,634.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.167,1.91449,2,0,0,2,0,1,2,9,2,1,0,3,1,4,1,-9.17166e-06,0,13,-1,0,0,0,0,0,0
12,4,7,0.98901,1256.69,560.111,1594.79,819.965,1256.69,1425.11,1426.31,1257.26,570.405,570.699,756.907,761.069,1368.48,1592.27,1594.79,1369.86,560.111,560.422,813.13,819.965,12.9138,-3.51378,2,0,0,3,0,1,2,9,2,1,0,3,1,4,1,-0.00576814,11.0256,13,1,0,0,0,0,0,0
13,1,7,0.99591,947.103,620.218,974.614,641.745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.015,-0.278356,2,0,0,1,0,1,1,9,1,0,0,3,1,4,1,-1.32434e-05,0,14,-1,0,0,0,0,0,0
13,2,7,0.99841,996.261,606.18,1059.19,665.72,1002.3,1052.65,1052.59,1002.19,612.058,612.183,659.814,659.787,996.405,1059.19,1059.13,996.261,606.18,606.302,665.72,665.719,56.3146,-2.06069,2,0,0,3,1,1,2,9,1,0,0,3,1,4,1,-0.031696,28.3916,14,1,0,0,0,0,0,0
13,3,7,0.97061,929.576,617.573,947.669,634.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.507,1.85375,2,0,0,2,0,1,2,9,1,0,0,3,1,4,1,-9.17166e-06,0,14,-1,0,0,0,0,0,0
13,4,7,0.98201,1256.77,560.271,1592.93,820.339,1256.77,1423.59,1424.79,1257.33,570.153,570.57,756.562,760.434,1368.84,1590.42,1592.93,1370.22,560.271,560.593,813.71,820.339,13.0277,-3.53223,2,0,0,3,0,1,2,9,1,0,0,3,1,4,1,-0.00532443,12.5221,14,1,0,0,0,0,0,0
