frame_id,ocPitch,drv_color,drv_position,drv_type,drv_trackingId,drv_enable,drv_multiple,drv_roadBoundaryType,drv_vcs_start,drv_vcs_end,drv_vcs_predicted_start,drv_vcs_predicted_end,drv_lineWidthModel_C0,drv_lineWidthModel_C1,drv_segment_num,drv_segment_start,drv_segment_end,drv_segment_C0,drv_segment_C1,drv_segment_C2,drv_segment_C3,rb_color,rb_position,rb_type,rb_trackingID,rb_enable,rb_multiple,rb_roadBoundaryType,rb_vcs_start,rb_vcs_end,rb_vcs_predicted_start,rb_vcs_predicted_end,rb_lineWidthModel_C0,rb_lineWidthModel_C1,rb_segment_num,rb_segment_start,rb_segment_end,rb_segment_C0,rb_segment_C1,rb_segment_C2,rb_segment_C3,drv_lines_num,rb_lines_num,num_of_merged_point,merge_pos_lon,num_of_branch_point,branch_pos_lon,confidence
0,-0.039933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,
1,-0.039933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,
2,-0.039933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,
3,-0.039933,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,-1,
4,-0.0405747,1,3,2,1,1,1,1,7.7927,72.0412,8.9937,71.9484,0.193004,0.00270569,1,8.9937,71.9484,1.46517,-0.0110485,0.000318514,1.54004e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,-1,0,-1,0
4,-0.0405747,1,4,3,2,1,1,1,8.44071,45.3913,9.00945,44.0455,0.169206,0.00564513,1,9.00945,44.0455,-2.04434,-0.00234471,0.000196638,-9.59947e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,-1,0,-1,0
5,-0.040922,1,3,2,1,1,1,1,7.81215,73.5549,8.99371,72.9473,0.193337,0.00284733,1,8.99371,72.9473,1.46262,-0.0109345,0.000317431,2.03321e-10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,0,-1,0.05
5,-0.040922,1,4,3,2,1,1,1,7.85527,45.3283,8.00846,44.046,0.17407,0.00549545,1,8.00846,44.046,-2.04803,-0.00279443,0.000196629,-1.05271e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,0,-1,0.05
5,-0.040922,1,5,3,3,1,1,1,11.9373,15.1246,12.0348,14.0403,0.335311,-3.97265e-05,1,12.0348,14.0403,-5.83562,0.00936071,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,0,0,-1,0,-1,0
6,-0.0411205,1,3,2,1,1,1,1,7.82567,74.4588,7.99517,73.9503,0.194621,0.00290008,1,7.99517,73.9503,1.45623,-0.0108479,0.000314267,1.25728e-09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,0,-1,0,-1,0.05
